path,original_category,corrected_category,original_priority,corrected_priority,evidence_type,use_in_public_docs,use_in_submission_docs,reason,key_points,metric_candidates,sensitive_risk,notes
docs/airline-logo-manifest.json,frontend_ui_ux,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,exclude_internal_log,review,review,manual follow-up recommended,,true,false,
docs/airline-logo-sha256.txt,frontend_ui_ux,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,exclude_internal_log,review,review,manual follow-up recommended,,false,false,
docs/eda/eda_report.md,roundtrip_support,eda_analysis,P1_supporting_evidence,P1_supporting_evidence,eda,yes,yes,EDA background evidence,price variation and data quality,true,false,
docs/eda/eda_report.pdf,eda_analysis,eda_analysis,P1_supporting_evidence,P1_supporting_evidence,eda,yes,yes,EDA background evidence,price variation and data quality,false,false,
docs/modeling/final_modeling_summary_clean_v1.md,roundtrip_support,modeling_label_evaluation,P1_supporting_evidence,P0_core_evidence,model_design,yes,yes,core model and label evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/modeling/label_design.md,modeling_label_evaluation,modeling_label_evaluation,P1_supporting_evidence,P0_core_evidence,label_design,yes,yes,core model and label evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/modeling/label_design.pdf,modeling_label_evaluation,modeling_label_evaluation,P1_supporting_evidence,P0_core_evidence,label_design,yes,yes,core model and label evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",false,false,
docs/phase_11c_login_savedlist_app_icon.md,apk_mobile,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",false,false,
docs/phase_11c_login_savedlist_ui.md,apk_mobile,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",true,false,
docs/phase_11d_1_model_info_auto_metadata.md,apk_mobile,frontend_ui_ux,P0_core_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",true,false,
docs/phase_11d_model_info_ui.md,apk_mobile,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",false,false,
docs/phase_11e_1_card_readability_kst_date_hotfix.md,apk_mobile,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",true,false,
docs/phase_11e_search_result_summary_card_ui.md,apk_mobile,frontend_ui_ux,P1_supporting_evidence,P1_supporting_evidence,frontend_ui,yes,yes,frontend UX implementation evidence,"search result, detail, model info, UI wording",true,false,
docs/phase_12a_2_launcher_splash_resource.md,apk_mobile,apk_mobile,P1_supporting_evidence,P1_supporting_evidence,apk_mobile,yes,yes,mobile packaging evidence,"Capacitor APK, icons, splash, signed release",true,false,
docs/phase_13_1_model_runtime_artifact_contract.md,frontend_ui_ux,modeling_label_evaluation,P0_core_evidence,P0_core_evidence,evaluation,yes,yes,model diagnosis and experiment decision evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_13_4_label_metric_threshold_decision.md,deployment_infra,modeling_label_evaluation,P0_core_evidence,P0_core_evidence,evaluation,yes,yes,model diagnosis and experiment decision evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_13_5_retraining_experiment_design.md,frontend_ui_ux,modeling_label_evaluation,P0_core_evidence,P0_core_evidence,evaluation,yes,yes,model diagnosis and experiment decision evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
docs/phase_13_model_improvement_plan.md,apk_mobile,modeling_label_evaluation,P0_core_evidence,P0_core_evidence,evaluation,yes,yes,model diagnosis and experiment decision evidence,"BUY WAIT label, Stage1 Stage2, Exp-C, threshold, final retrain",true,false,
