metric_name,value,unit,category,context,source_doc,source_section_or_keyword,public_safe,confidence,notes
total_docs_inventory,210,files,public_release_cleanup,private docs full inventory,docs/ko/full_docs_inventory.csv,generated inventory,true,high,원본 docs 전수 파일 수
metric_candidate_docs,139,files,public_release_cleanup,private docs full inventory,docs/ko/full_docs_inventory.csv,generated inventory,true,medium,키워드 기반 수치 후보 문서 수
path_or_secret_risk_docs,60,files,public_release_cleanup,private docs full inventory,docs/ko/full_docs_inventory.csv,generated inventory,false,medium,공개 전 redaction 필요 후보
p0_core_evidence_docs,45,files,public_release_cleanup,private docs full inventory,docs/ko/full_docs_inventory.csv,generated inventory,true,medium,자동 분류 기준 핵심 근거 후보
p1_supporting_evidence_docs,77,files,public_release_cleanup,private docs full inventory,docs/ko/full_docs_inventory.csv,generated inventory,true,medium,자동 분류 기준 보조 근거 후보
collection_period,2026-04-16 08:00 ~ 2026-06-04 00:00,datetime range,model_training_retraining,final full retrain data freeze,docs/phase_16e_frontend_model_info_polish.md,final model metadata,true,high,공개 문서에는 기간만 사용
observation_points,147,count,model_training_retraining,final full retrain data freeze,docs/phase_16e_frontend_model_info_polish.md,final model metadata,true,high,관측 시점 수
service_db_observations,141120,rows,db_schema_storage,final full retrain data freeze,docs/phase_16e_frontend_model_info_polish.md,final model metadata,true,high,서비스 DB 관측 요약 수
trainable_rows_total,4562741,rows,model_training_retraining,final full retrain dataset,docs/phase_16e_frontend_model_info_polish.md,final model metadata,true,high,학습 가능 항공권 row 총계
trainable_rows_oneway,989669,rows,model_training_retraining,final full retrain dataset,docs/phase_16e_frontend_model_info_polish.md,final model metadata,true,high,편도 학습 row
trainable_rows_roundtrip,3573072,rows,model_training_retraining,final full retrain dataset,docs/phase_16e_frontend_model_info_polish.md,final model metadata,true,high,왕복 학습 row
phase14_exp_a_buy_regret,20.79,percent,modeling_label_evaluation,Exp-A vs Exp-C comparison,docs/phase_14_8_stage1_alignment_holdout_validation.md,Exp-C validation,true,high,Exp-C 비교 기준
phase14_exp_c_buy_regret,15.94,percent,modeling_label_evaluation,Exp-A vs Exp-C comparison,docs/phase_14_8_stage1_alignment_holdout_validation.md,Exp-C validation,true,high,Exp-A 대비 개선
phase14_exp_a_wait_success,31.37,percent,modeling_label_evaluation,Exp-A vs Exp-C comparison,docs/phase_14_8_stage1_alignment_holdout_validation.md,Exp-C validation,true,high,Exp-C 비교 기준
phase14_exp_c_wait_success,41.52,percent,modeling_label_evaluation,Exp-A vs Exp-C comparison,docs/phase_14_8_stage1_alignment_holdout_validation.md,Exp-C validation,true,high,Exp-A 대비 개선
stage1_alignment_72h_max_drop,0.2693,pearson_r,modeling_label_evaluation,Stage1 alignment check,docs/phase_14_8_stage1_alignment_holdout_validation.md,Stage1 alignment,true,high,Stage1 정렬 약함
stage1_alignment_exp_c_label,0.2093,pearson_r,modeling_label_evaluation,Stage1 alignment check,docs/phase_14_8_stage1_alignment_holdout_validation.md,Stage1 alignment,true,high,Stage1 target mismatch 리스크
compact_matched_rows,11939,rows,modeling_label_evaluation,compact pred_saving coverage,docs/phase_14_8_stage1_alignment_holdout_validation.md,coverage bottleneck,true,high,coverage 병목 근거
oneway_route_holdout_min_rows_issue,244,rows,modeling_label_evaluation,route holdout minimum,docs/phase_14_8_stage1_alignment_holdout_validation.md,route holdout,true,high,min 300 미달 근거
phase16_oneway_threshold,0.80,probability threshold,model_training_retraining,final live model,docs/phase_16e_frontend_model_info_polish.md,live model status,true,high,WAIT decision 기준
phase16_roundtrip_threshold,0.65,probability threshold,model_training_retraining,final live model,docs/phase_16e_frontend_model_info_polish.md,live model status,true,high,WAIT decision 기준
phase16_oneway_model_version,finaltest_expc_full_final_v1_thr065_oneway,string,model_training_retraining,final live model,docs/phase_16e_frontend_model_info_polish.md,live model status,true,high,버전명만 공개
phase16_roundtrip_model_version,finaltest_expc_full_final_v1_thr065_roundtrip,string,model_training_retraining,final live model,docs/phase_16e_frontend_model_info_polish.md,live model status,true,high,버전명만 공개
phase16_review_oneway_buy_regret,8.56,percent,model_training_retraining,threshold review,docs/phase_16b_3c_baseline_threshold_review.md,oneway threshold 0.80,true,high,review reconstruction 기준
phase16_review_oneway_wait_success,83.06,percent,model_training_retraining,threshold review,docs/phase_16b_3c_baseline_threshold_review.md,oneway threshold 0.80,true,high,review reconstruction 기준
phase16_review_roundtrip_buy_regret,18.93,percent,model_training_retraining,threshold review,docs/phase_16b_3c_baseline_threshold_review.md,roundtrip threshold 0.65,true,high,왕복 threshold 선택 근거
phase16_review_roundtrip_wait_success,75.24,percent,model_training_retraining,threshold review,docs/phase_16b_3c_baseline_threshold_review.md,roundtrip threshold 0.65,true,high,왕복 threshold 선택 근거
frontend_build_result,pass,status,frontend_ui_ux,public release final check,docs/repo_cleanup_phase3_build_final_check.md,build check,true,medium,Phase3 공개 repo build 검증 기록 기준
backend_compile_result,pass,status,backend_api_serving,public release final check,docs/repo_cleanup_phase3_build_final_check.md,compile check,true,medium,Phase3 공개 repo compile 검증 기록 기준
forbidden_large_file_scan,0,files,public_release_cleanup,public release scan,docs/repo_cleanup_phase3_large_forbidden_final_summary.md,large file scan,true,medium,public repo 기준
secret_residual_scan,0,hits,public_release_cleanup,public release scan,docs/repo_cleanup_phase3_secret_final_summary.md,secret scan,true,medium,public repo 기준
